100
(4950,328350)
(-159153,47268.3)
(-79522.7,8476.56)
(-52944.5,1174.6)
(-39629.1,-1421.2)
(-31618.8,-2641.14)
(-26260.9,-3313.87)
(-22418.7,-3725.59)
(-19523.7,-3996.81)
(-17260.1,-4185.52)
(-15438.4,-4322.51)
(-13938,-4425.36)
(-12678.6,-4504.75)
(-11604.3,-4567.45)
(-10675.5,-4617.94)
(-9863.05,-4659.28)
(-9144.97,-4693.61)
(-8504.54,-4722.5)
(-7928.74,-4747.06)
(-7407.28,-4768.17)
(-6931.91,-4786.46)
(-6495.96,-4802.44)
(-6093.96,-4816.5)
(-5721.39,-4828.96)
(-5374.46,-4840.06)
(-5050,-4850)
(-4745.31,-4858.95)
(-4458.09,-4867.06)
(-4186.36,-4874.42)
(-3928.4,-4881.13)
(-3682.71,-4887.28)
(-3448,-4892.93)
(-3223.1,-4898.13)
(-3006.99,-4902.94)
(-2798.77,-4907.4)
(-2597.63,-4911.54)
(-2402.82,-4915.4)
(-2213.69,-4919)
(-2029.64,-4922.37)
(-1850.11,-4925.52)
(-1674.6,-4928.48)
(-1502.63,-4931.25)
(-1333.78,-4933.87)
(-1167.63,-4936.33)
(-1003.8,-4938.64)
(-841.922,-4940.83)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(0,0)
(741.922,-4956.66)
(903.801,-4957.72)
(1067.63,-4958.68)
(1233.78,-4959.54)
(1402.63,-4960.31)
(1574.6,-4960.97)
(1750.11,-4961.52)
(1929.64,-4961.96)
(2113.69,-4962.27)
(2302.82,-4962.46)
(2497.63,-4962.5)
(2698.77,-4962.38)
(2906.99,-4962.08)
(3123.1,-4961.59)
(3348,-4960.89)
(3582.71,-4959.93)
(3828.4,-4958.7)
(4086.36,-4957.14)
(4358.09,-4955.22)
(4645.31,-4952.86)
(4950,-4950)
(5274.46,-4946.54)
(5621.39,-4942.38)
(5993.96,-4937.38)
(6395.96,-4931.36)
(6831.91,-4924.1)
(7307.28,-4915.31)
(7828.74,-4904.64)
(8404.54,-4891.59)
(9044.97,-4875.51)
(9763.05,-4855.54)
(10575.5,-4830.45)
(11504.3,-4798.54)
(12578.6,-4757.32)
(13838,-4703.13)
(15338.4,-4630.28)
(17160.1,-4529.73)
(19423.7,-4386.29)
(22318.7,-4172.97)
(26160.9,-3838.08)
(31518.8,-3272.51)
(39529.1,-2212.78)
(52844.5,116.706)
(79422.7,6887.1)
(159053,44086.2)
